Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0488853,174.9447717,163.3706354,195.6629465,196.7081339,221.4056459,230.2036498,235.001733,266.1274905,270.9731529,305.5497754,331.5827566,356.5342638,343.4731337,359.1163398,368.4397435,405.0251224,433.8809399,494.0000847,431.8095134,411.7863763,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.697236,2077.977191,2237.818201,2305.620684,2482.004036,2603.643975,2876.165239,3052.819362,3309.464992,3643.718654,3852.935217,3885.681055,3985.13619,4085.48259,4182.06803,4292.487202,4501.835878,4706.463509,4871.657804,4980.623027,5388.889264,6098.307687,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.6296415,115.7039187,119.3615716,81.67400764,83.96078403,113.4711517,126.7694207,168.9956896,220.9939381,243.7689873,284.7599924,320.5023474,325.6175342,343.0602975,327.8337999,344.8943064,423.9791247,443.2215447,452.1486785,490.9509568,573.6862802,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.9227979,258.7765006,262.8669572,278.5103697,269.3266567,257.1750824,272.160929,330.0897092,384.2573669,485.2108889,467.1841788,503.8054024,584.09943,561.9702543,615.6309692,593.5713438,522.6251335,489.0795128,488.2057149,490.5865873,460.4778617,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.34154932,37.69987021,44.69358041,54.10917124,60.81757669,70.38513517,82.7086735,98.5945559,122.4534636,156.0532355,170.1117303,197.287928,233.5619937,261.3487296,285.0884176,311.932438,320.5163773,334.7431371,367.5671618,406.466946,437.3220909,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.11518789,83.04933903,81.7278467,86.48298381,89.26739451,94.01187294,107.8911986,116.4143115,119.0050921,137.0482435,136.0281146,147.7685558,156.3904516,162.6860818,175.5813584,184.9108076,189.655162,202.841072,203.0565437,185.9663305,203.3557891,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.1500723,168.0214891,179.7290291,193.525671,207.7973712,226.4302556,246.1074671,272.2672054,302.0443151,343.7834623,369.3029117,428.1207202,470.9006877,507.6828822,536.3260002,571.3712029,580.378258,600.7733333,640.5568395,684.6026031,726.9938988,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.6983912,203.6632576,231.6031444,254.0900344,273.4156535,312.5505037,376.360968,411.9061956,485.0012393,531.30014,507.8076328,522.9852199,569.9653116,606.1711538,622.2979783,594.868293,606.4216398,635.5503265,685.8865751,740.332331,994.1710803,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871.3833147,940.9039611,1020.027405,1075.552008,1133.12808,1200.095249,1309.856737,1381.699312,1513.280137,1610.475737,1636.330031,1683.311788,1729.144567,1805.798534,1853.387124,1884.564968,1988.431715,2075.150548,2177.94453,2271.401929,2593.372854,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.35720435,76.90142505,89.96213108,109.2052967,123.87765,128.3904006,146.6185193,170.2064581,186.1796234,210.4307294,258.0586196,302.3026362,354.2597201,426.240883,481.7740612,477.4501814,488.8101753,530.8027921,586.0239661,573.3429118,545.8622701,,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.76912,112.5467996,117.8056365,106.4913316,105.6207094,112.2658139,133.0136363,128.9908281,135.3195385,139.821883,129.8934314,142.3187576,142.0859292,152.8804074,153.0117312,181.5762342,175.3989585,182.0721702,156.9751936,158.9528543,167.3004975,,
